,경매구분코드,경매구분코드명,도매시장법인코드,산지코드,산지명2,경락일자,거래량,도매시장법인명,거래가격,출하구분코드,출하구분명,일련번호,포장상태코드,포장상태명,산지명,등급코드,품종명,거래규격단위코드,거래단위명,도매시장코드,도매시장명,경매시간
78638,1,경매,24000403,535807,,20200302,130,호남청과,1300,3.0,개별,00001,107,파렛트,전라남도 신안군,11,깐대파,12,kg,240004,광주서부도매시장,2020-03-02 05:12:35
78639,1,경매,24000403,535807,,20200302,130,호남청과,1200,3.0,개별,00002,107,파렛트,전라남도 신안군,11,깐대파,12,kg,240004,광주서부도매시장,2020-03-02 05:13:07
78640,1,경매,24000403,535807,,20200302,130,호남청과,1200,3.0,개별,00003,107,파렛트,전라남도 신안군,11,깐대파,12,kg,240004,광주서부도매시장,2020-03-02 05:13:10
78641,1,경매,24000403,535807,,20200302,130,호남청과,1200,3.0,개별,00004,107,파렛트,전라남도 신안군,11,깐대파,12,kg,240004,광주서부도매시장,2020-03-02 05:13:14
78642,1,경매,24000403,561340,,20200302,150,호남청과,1200,3.0,개별,00001,107,파렛트,전라북도 전주시,11,깐대파,12,kg,240004,광주서부도매시장,2020-03-02 05:13:55
78643,1,경매,24000403,561340,,20200302,150,호남청과,1000,3.0,개별,00002,107,파렛트,전라북도 전주시,11,깐대파,12,kg,240004,광주서부도매시장,2020-03-02 05:15:20
78632,1,경매,24000402,539844,,20200302,100,두레청과,1700,3.0,개별,00001,111,단,전라남도 진도군,11,대파(일반),12,kg,240004,광주서부도매시장,2020-03-02 06:24:41
78659,1,경매,25000101,363000,충청북도 청원군,20200302,130,농협대전(공),2930,2.0,계통,00050,1ZZ,기타,충청북도 청주시,11,대파(일반),12,kg,250001,대전오정도매시장,
78658,1,경매,25000101,363000,충청북도 청원군,20200302,130,농협대전(공),2950,2.0,계통,00040,1ZZ,기타,충청북도 청주시,11,대파(일반),12,kg,250001,대전오정도매시장,
78657,1,경매,25000101,363000,충청북도 청원군,20200302,130,농협대전(공),3000,2.0,계통,00030,1ZZ,기타,충청북도 청주시,11,대파(일반),12,kg,250001,대전오정도매시장,
78590,1,경매,24000401,502153,,20200302,150,농협광주(공),1500,2.0,계통,00010,1ZZ,기타,광주광역시 서구,11,대파(일반),12,kg,240004,광주서부도매시장,2020-03-02 05:12:45
77730,2,정가수의,11000101,539000,전라남도 진도군,20200302,75,서울청과,6000,,,1,107,파렛트,전라남도 진도군,11,대파(일반),12,kg,110001,서울가락도매시장,2020-03-02 ::
78591,1,경매,24000401,502153,,20200302,150,농협광주(공),1500,2.0,계통,00020,1ZZ,기타,광주광역시 서구,11,대파(일반),12,kg,240004,광주서부도매시장,2020-03-02 05:12:50
78592,1,경매,24000401,950000,전라남도,20200302,170,농협광주(공),1500,2.0,계통,00010,1ZZ,기타,전라남도,11,대파(일반),12,kg,240004,광주서부도매시장,2020-03-02 05:12:56
78593,1,경매,24000401,950000,전라남도,20200302,172,농협광주(공),1500,2.0,계통,00020,1ZZ,기타,전라남도,11,대파(일반),12,kg,240004,광주서부도매시장,2020-03-02 05:13:01
78594,1,경매,24000401,502153,,20200302,130,농협광주(공),1620,2.0,계통,00010,1ZZ,기타,광주광역시 서구,11,대파(일반),12,kg,240004,광주서부도매시장,2020-03-02 05:13:08
78595,1,경매,24000401,502153,,20200302,130,농협광주(공),1700,2.0,계통,00020,1ZZ,기타,광주광역시 서구,11,대파(일반),12,kg,240004,광주서부도매시장,2020-03-02 05:13:12
